filename,fold_number,auroc,ap,precision,recall,f1_score,accuracy,tn,fp,fn,tp,multi_auroc,multi_ap,multi_precision,multi_recall,multi_f1_score,multi_accuracy,train_patients_neg_abdominal_nec,train_patients_neg_all,train_patients_neg_brain_ivh_stage_3_4,train_patients_neg_cns_los,train_patients_neg_cps_los,train_patients_neg_infection,train_patients_neg_los,train_patients_neg_pneumonia,train_patients_neg_sepsis,train_patients_pos_abdominal_nec,train_patients_pos_any,train_patients_pos_brain_ivh_stage_3_4,train_patients_pos_cns_los,train_patients_pos_cps_los,train_patients_pos_infection,train_patients_pos_los,train_patients_pos_pneumonia,train_patients_pos_sepsis,train_windows_neg_abdominal_nec,train_windows_neg_all,train_windows_neg_brain_ivh_stage_3_4,train_windows_neg_cns_los,train_windows_neg_cps_los,train_windows_neg_infection,train_windows_neg_los,train_windows_neg_pneumonia,train_windows_neg_sepsis,train_windows_pos_abdominal_nec,train_windows_pos_any,train_windows_pos_brain_ivh_stage_3_4,train_windows_pos_cns_los,train_windows_pos_cps_los,train_windows_pos_infection,train_windows_pos_los,train_windows_pos_pneumonia,train_windows_pos_sepsis,val_patients_neg_abdominal_nec,val_patients_neg_all,val_patients_neg_brain_ivh_stage_3_4,val_patients_neg_cns_los,val_patients_neg_cps_los,val_patients_neg_infection,val_patients_neg_los,val_patients_neg_pneumonia,val_patients_neg_sepsis,val_patients_pos_abdominal_nec,val_patients_pos_any,val_patients_pos_brain_ivh_stage_3_4,val_patients_pos_cns_los,val_patients_pos_cps_los,val_patients_pos_infection,val_patients_pos_los,val_patients_pos_pneumonia,val_patients_pos_sepsis,val_windows_neg_abdominal_nec,val_windows_neg_all,val_windows_neg_brain_ivh_stage_3_4,val_windows_neg_cns_los,val_windows_neg_cps_los,val_windows_neg_infection,val_windows_neg_los,val_windows_neg_pneumonia,val_windows_neg_sepsis,val_windows_pos_abdominal_nec,val_windows_pos_any,val_windows_pos_brain_ivh_stage_3_4,val_windows_pos_cns_los,val_windows_pos_cps_los,val_windows_pos_infection,val_windows_pos_los,val_windows_pos_pneumonia,val_windows_pos_sepsis,multi_fn,multi_fp,multi_tn,multi_tp,train_total_patients,train_total_windows,val_total_patients,val_total_windows
0dbcde71e93671d4aae5cf18ea71a4865b367a51d72fb6cd79b7dbb96ad50166_2.pklz,1,,,,,,,,,,,0.81442,0.97777,0.98588,0.98615,0.98422,0.98615,248.00000,248,,,,,248.00000,,,21.00000,32,,,,,19.00000,,,253688.00000,251310,,,,,252869.00000,,,1941.00000,4319,,,,,2760.00000,,,29.00000,29,,,,,29.00000,,,4.00000,5,,,,,4.00000,,,33502.00000,33139,,,,,33580.00000,,,655.00000,1018,,,,,577.00000,,,,,,,248,255629,29,34157
0dbcde71e93671d4aae5cf18ea71a4865b367a51d72fb6cd79b7dbb96ad50166_2.pklz,2,,,,,,,,,,,0.89607,0.98252,0.98652,0.98594,0.98428,0.98594,247.00000,247,,,,,247.00000,,,19.00000,31,,,,,20.00000,,,262206.00000,259714,,,,,261322.00000,,,1990.00000,4482,,,,,2874.00000,,,29.00000,29,,,,,29.00000,,,5.00000,5,,,,,2.00000,,,28898.00000,28389,,,,,28827.00000,,,548.00000,1057,,,,,619.00000,,,,,,,247,264196,29,29446
0dbcde71e93671d4aae5cf18ea71a4865b367a51d72fb6cd79b7dbb96ad50166_2.pklz,3,,,,,,,,,,,0.80376,0.98592,0.99030,0.99110,0.98994,0.99110,248.00000,248,,,,,248.00000,,,21.00000,32,,,,,19.00000,,,254038.00000,251671,,,,,253411.00000,,,2122.00000,4489,,,,,2749.00000,,,28.00000,28,,,,,28.00000,,,3.00000,4,,,,,3.00000,,,30643.00000,30365,,,,,30561.00000,,,254.00000,532,,,,,336.00000,,,,,,,248,256160,28,30897
0dbcde71e93671d4aae5cf18ea71a4865b367a51d72fb6cd79b7dbb96ad50166_2.pklz,4,,,,,,,,,,,0.91662,0.99379,0.99361,0.99397,0.99356,0.99397,249.00000,249,,,,,249.00000,,,21.00000,33,,,,,19.00000,,,255506.00000,253080,,,,,254888.00000,,,2190.00000,4616,,,,,2808.00000,,,27.00000,27,,,,,27.00000,,,3.00000,3,,,,,3.00000,,,33555.00000,33105,,,,,33138.00000,,,91.00000,541,,,,,508.00000,,,,,,,249,257696,27,33646
0dbcde71e93671d4aae5cf18ea71a4865b367a51d72fb6cd79b7dbb96ad50166_2.pklz,5,,,,,,,,,,,0.67116,0.96805,0.97985,0.98183,0.97740,0.98183,247.00000,247,,,,,247.00000,,,20.00000,31,,,,,19.00000,,,249687.00000,247378,,,,,248828.00000,,,1832.00000,4141,,,,,2691.00000,,,28.00000,28,,,,,28.00000,,,3.00000,4,,,,,2.00000,,,33053.00000,32712,,,,,33179.00000,,,467.00000,808,,,,,341.00000,,,,,,,247,251519,28,33520
0dbcde71e93671d4aae5cf18ea71a4865b367a51d72fb6cd79b7dbb96ad50166_2.pklz,6,,,,,,,,,,,0.94712,0.99080,0.98862,0.98959,0.98877,0.98959,249.00000,249,,,,,249.00000,,,22.00000,33,,,,,19.00000,,,257598.00000,255212,,,,,257035.00000,,,2205.00000,4591,,,,,2768.00000,,,28.00000,28,,,,,28.00000,,,3.00000,4,,,,,4.00000,,,32525.00000,32151,,,,,32442.00000,,,615.00000,989,,,,,698.00000,,,,,,,249,259803,28,33140
0dbcde71e93671d4aae5cf18ea71a4865b367a51d72fb6cd79b7dbb96ad50166_2.pklz,7,,,,,,,,,,,0.49979,0.97195,0.97182,0.98549,0.97861,0.98549,246.00000,246,,,,,246.00000,,,20.00000,30,,,,,18.00000,,,251192.00000,249037,,,,,250756.00000,,,2101.00000,4256,,,,,2537.00000,,,28.00000,28,,,,,28.00000,,,2.00000,4,,,,,2.00000,,,30980.00000,30643,,,,,30747.00000,,,104.00000,441,,,,,337.00000,,,,,,,246,253293,28,31084
0dbcde71e93671d4aae5cf18ea71a4865b367a51d72fb6cd79b7dbb96ad50166_2.pklz,8,,,,,,,,,,,0.68824,0.96616,0.98107,0.98166,0.97737,0.98166,247.00000,247,,,,,247.00000,,,21.00000,31,,,,,18.00000,,,263053.00000,260800,,,,,262514.00000,,,2096.00000,4349,,,,,2635.00000,,,28.00000,28,,,,,28.00000,,,2.00000,4,,,,,3.00000,,,20170.00000,19830,,,,,20049.00000,,,219.00000,559,,,,,340.00000,,,,,,,247,265149,28,20389
0dbcde71e93671d4aae5cf18ea71a4865b367a51d72fb6cd79b7dbb96ad50166_2.pklz,9,,,,,,,,,,,0.49892,0.98229,0.98226,0.99098,0.98660,0.99098,246.00000,246,,,,,246.00000,,,20.00000,30,,,,,18.00000,,,256530.00000,254198,,,,,255952.00000,,,2136.00000,4468,,,,,2714.00000,,,28.00000,28,,,,,28.00000,,,2.00000,4,,,,,2.00000,,,25642.00000,25482,,,,,25551.00000,,,69.00000,229,,,,,160.00000,,,,,,,246,258666,28,25711
0dbcde71e93671d4aae5cf18ea71a4865b367a51d72fb6cd79b7dbb96ad50166_2.pklz,10,,,,,,,,,,,0.50584,0.97822,0.97855,0.98874,0.98340,0.98874,246.00000,246,,,,,246.00000,,,20.00000,30,,,,,18.00000,,,252509.00000,250268,,,,,252013.00000,,,2127.00000,4368,,,,,2623.00000,,,28.00000,28,,,,,28.00000,,,2.00000,4,,,,,2.00000,,,29663.00000,29412,,,,,29490.00000,,,78.00000,329,,,,,251.00000,,,,,,,246,254636,28,29741
